Algorithm,Group,Avg Time (s),Avg Visited States,Avg Memory Usage
BFS,Uninformed Search,0.005104019970167429,681.0,932.0
DFS,Uninformed Search,0.0036453599925152956,522.0,754.0
UCS,Uninformed Search,0.004025750036817044,536.0,739.0
IDDFS,Uninformed Search,3.168000839650631e-05,1.0,2.0
GREEDY,Informed Search,0.00022314001107588411,20.0,31.0
A*,Informed Search,0.00024998998269438745,23.0,35.0
IDA*,Informed Search,0.0002608100068755448,9.0,9.0
SimpleHillClimbing,Local Search,0.00020391998114064336,9.0,4.0
SteepestHillClimbing,Local Search,0.00023221001029014588,9.0,4.0
StochasticHillClimbing,Local Search,0.00018649001140147448,4.5,4.0
SimulatedAnnealing,Local Search,0.8664727299939841,55317.1,3.0
BeamSearch,Local Search,0.0006996899959631264,68.0,3.0
GeneticAlgorithm,Local Search,0.016547739994712173,13612.7,100.0
Backtracking,CSP,0.0022202300024218857,59.0,58.0
GenerateAndTest,CSP,0.00034074999857693913,29.0,28.0
AC3,CSP,0.0011573700117878615,59.0,58.0
Q-Learning,Optimization-Based,29.89236838001525,2625037.0,3300.0
